company_name,credit_code,industry_tags,business_scope,rules_score,rules_level,llm_score,llm_level,demand_tags,sales_pitch,reasoning,news_count,recruitment_count,bidding_count,rated_at
武汉中科创新技术有限公司,,"['智能制造', '绿色制造']",绿色制造、智能制造技术、工业节能,0,D,,,,,,13,4,0,2026-08-19 11:04:40.638671
武汉博彦科技信息技术有限公司,,"['软件开发', '信息技术']",软件测试、信息技术服务、软件开发、数据分析,,,,,,,,0,0,0,
武汉文思海辉信息技术有限公司,,"['软件开发', '信息技术']",软件外包、数字化咨询、信息技术服务、软件开发,,,,,,,,0,0,0,
武汉中软国际科技有限公司,,"['软件开发', '信息技术']",软件外包、信息技术服务、云计算解决方案、软件开发,,,,,,,,0,0,0,
武汉微觉微技术有限公司,,"['机器视觉', '检测']",工业视觉检测、AOI设备、智能质检,0,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉创科视觉科技有限公司,,"['机器视觉', '3D检测']",3D视觉检测、工业测量、智能质检,0,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉图漾科技有限公司,,"['机器视觉', '3D相机']",3D工业相机、深度视觉、机器视觉,0,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉奥特梅威光电有限公司,,"['智能仪表', '流量']",流量仪表、过程控制、智能变送器,0,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉全通教育信息技术有限公司,,"['软件开发', '教育信息化']",教育信息化平台、软件开发、信息技术咨询、在线教育,,,,,,,,0,0,0,
武汉威杜科技有限公司,,"['智能制造', '专机']",非标自动化装备、智能专机、工业自动化,0,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉海基嘉远科技有限公司,,"['工业仿真', '电磁']",电磁仿真、射频仿真、SI/PI分析,0,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉优利德科技有限公司,,"['智能仪表', '测试']",电子测试仪表、万用表、示波器,0,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉优飞科技有限公司,,"['工业仿真', '数字孪生']",数字孪生、三维仿真、工艺仿真,0,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉视源电子科技有限公司,,"['软件开发', '智能硬件']",智能交互平板软件、软件开发、信息技术服务,,,,,,,,0,0,0,
武汉拓维信息系统有限公司,,"['软件开发', '信息技术']",教育信息化、软件开发、系统集成、信息技术服务,,,,,,,,0,0,0,
武汉明源云科技有限公司,,"['SaaS', '软件开发']",地产行业SaaS、软件开发、数字化转型咨询、信息技术服务,,,,,,,,0,0,0,
武汉磐云科技有限公司,,"['智能检测', '无损']",无损检测设备、工业CT、智能检测,0,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉雅弘智能包装有限公司,,"['智能包装', '自动化']",智能包装产线、自动化包装、印刷设备,0,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉纷享销客科技有限公司,,"['SaaS', '软件开发']",CRM软件服务、SaaS平台开发、信息技术咨询,,,,,,,,0,0,0,
武汉软通动力信息技术有限公司,,"['软件开发', '信息技术']",软件外包、信息技术服务、系统集成、企业数字化转型,,,,,,,,0,0,0,
武汉有赞网络科技有限公司,,"['SaaS', '电子商务']",电商SaaS服务、软件开发、互联网技术服务、数字营销,,,,,,,,0,0,0,
武汉微擎网络科技有限公司,,"['SaaS', '软件开发']",SaaS平台运营、软件开发、互联网技术服务、小程序开发,,,,,,,,0,0,0,
武汉云途信息技术有限公司,,"['云计算', 'SaaS']",云计算服务、SaaS平台开发、信息技术咨询、软件开发,,,,,,,,0,0,0,
武汉天耀软件有限公司,,"['软件开发', '信息技术']",企业管理软件开发、信息技术咨询、系统集成,,,,,,,,0,0,0,
武汉青藤信息技术有限公司,,"['网络安全', '软件开发']",网络安全技术开发、软件开发、信息技术服务、数据安全,,,,,,,,0,0,0,
武汉微果网络科技有限公司,,"['互联网', '软件开发']",互联网应用开发、软件开发、信息技术咨询、数字营销,,,,,,,,0,0,0,
武汉安恒科技有限公司,,"['工业安全', '监测']",工业安全监测、环境监测、智能预警,0,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉光谷创意产业投资有限公司,,"['互联网', '软件开发']",创意产业投资、互联网技术开发、软件服务、企业孵化,,,,,,,,0,0,0,
武汉力源信息科技有限公司,,"['工业安全', '防爆']",防爆电器、工业安全设备、智能监控,0,D,,,,,,8,4,0,2026-08-19 11:04:40.638671
武汉佰钧成技术有限责任公司,,"['软件开发', '信息技术']",软件外包、信息技术服务、软件开发、系统集成,,,,,,,,0,0,0,
武汉荣邦科技有限公司,,"['工业运维', '远程监控']",工业远程运维、设备监控、云平台服务,0,D,,,,,,8,2,0,2026-08-19 11:04:40.638671
武汉梦芯科技有限公司,,"['软件开发', '信创']",信创软件开发、国产操作系统适配、信息技术服务,,,,,,,,0,0,0,
武汉极意网络科技有限公司,,"['互联网', '软件开发']",互联网验证服务、软件开发、信息技术咨询、数据安全,,,,,,,,0,0,0,
武汉慧联无限科技有限公司,,"['物联网', '软件开发']",物联网平台开发、软件开发、信息技术服务、智能硬件,,,,,,,,0,0,0,
武汉数梦科技有限公司,,"['软件开发', '大数据']",政务大数据平台开发、软件开发、信息技术服务、数据治理,,,,,,,,0,0,0,
武汉光谷软件园科技有限公司,,"['软件开发', '信息技术']",软件园区运营、信息技术服务、企业孵化、软件开发,,,,,,,,0,0,0,
武汉易思达科技有限公司,,"['软件开发', '信息技术']",软件开发、信息技术咨询、计算机系统集成、数据处理,,,,,,,,0,0,0,
武汉启明星辰信息技术有限公司,,"['网络安全', '软件开发']",网络安全产品研发、信息安全服务、软件开发、信息技术咨询,,,,,,,,0,0,0,
武汉金山软件有限公司,,"['软件开发', '互联网']",办公软件开发、云服务、互联网技术开发、信息技术服务,,,,,,,,0,0,0,
武汉店小秘信息技术有限公司,,"['SaaS', '电子商务']",跨境电商ERP、SaaS平台运营、软件开发、信息技术咨询,,,,,,,,0,0,0,
武汉小满科技有限公司,,"['SaaS', '国际贸易']",外贸CRM系统、SaaS平台开发、信息技术咨询、数据分析,,,,,,,,0,0,0,
武汉飞书科技有限公司,,"['SaaS', '协同办公']",协同办公软件、SaaS平台、软件开发、信息技术服务,,,,,,,,0,0,0,
武汉得物信息技术有限公司,,"['互联网', '电子商务']",电商交易平台、鉴定技术服务、软件开发、信息技术咨询,,,,,,,,0,0,0,
武汉微盟信息技术有限公司,,"['SaaS', '数字营销']",微信生态SaaS、数字营销平台、软件开发、信息技术咨询,,,,,,,,0,0,0,
武汉有赞信息技术有限公司,,"['SaaS', '电子商务']",电商SaaS服务、支付技术服务、软件开发、信息技术咨询,,,,,,,,0,0,0,
武汉纬创软件技术有限公司,,"['软件开发', '信息技术']",软件外包、信息技术服务、系统集成、软件开发,,,,,,,,0,0,0,
武汉领健信息技术有限公司,,"['SaaS', '医疗信息化']",口腔行业SaaS、医疗信息化、软件开发、信息技术咨询,,,,,,,,0,0,0,
武汉聚水潭网络科技有限公司,,"['SaaS', '电子商务']",电商ERP系统、仓储管理软件、SaaS服务、信息技术咨询,,,,,,,,0,0,0,
武汉凌佳科技有限公司,,"['软件开发', '信息技术']",软件外包、信息技术服务、软件开发、数据分析,,,,,,,,0,0,0,
武汉易宝软件有限公司,,"['软件开发', '信息技术']",金融软件外包、信息技术服务、软件开发、系统集成,,,,,,,,0,0,0,
武汉安胜信达科技有限公司,,"['软件开发', '信息技术']",软件测试、信息技术服务、质量保障、软件开发,,,,,,,,0,0,0,
武汉光庭信息技术有限公司,,"['软件开发', '汽车电子']",汽车电子软件、智能驾驶软件、软件开发、信息技术服务,,,,,,,,0,0,0,
武汉海默科技有限公司,,"['软件开发', '信息技术']",软件外包、信息技术咨询、软件开发、系统集成,,,,,,,,0,0,0,
武汉联奕科技有限公司,,"['软件开发', '信息技术']",教育信息化软件、软件开发、信息技术服务、系统集成,,,,,,,,0,0,0,
武汉开目信息技术有限公司,,"['软件开发', '制造业信息化']",制造业信息化软件、CAD/CAPP软件、信息技术服务,,,,,,,,0,0,0,
武汉天喻软件有限公司,,"['软件开发', '教育信息化']",教育信息化、数字校园软件、软件开发、信息技术服务,,,,,,,,0,0,0,
武汉瑞景信息技术有限公司,,"['软件开发', '信息技术']",政务信息化软件、软件开发、信息技术咨询、系统集成,,,,,,,,0,0,0,
武汉简道云信息技术有限公司,,"['低代码', '软件开发']",低代码平台、表单工具、软件开发、信息技术咨询,,,,,,,,0,0,0,
武汉氚云信息技术有限公司,,"['低代码', '软件开发']",低代码平台、业务流程自动化、软件开发、信息技术服务,,,,,,,,0,0,0,
武汉轻流科技有限公司,,"['低代码', '软件开发']",低代码平台、工作流引擎、软件开发、信息技术咨询,,,,,,,,0,0,0,
武汉宜创科技有限公司,,"['低代码', '软件开发']",低代码开发平台、可视化编程、软件开发、信息技术服务,,,,,,,,0,0,0,
武汉数睿数据科技有限公司,,"['低代码', '大数据']",低代码数据平台、大数据分析、软件开发、信息技术咨询,,,,,,,,0,0,0,
武汉智业软件有限公司,,"['软件开发', '信息技术']",建筑行业软件、BIM软件、信息技术咨询、软件开发,,,,,,,,0,0,0,
武汉建研软件有限公司,,"['软件开发', '建筑业信息化']",建筑工程软件、结构分析软件、信息技术服务,,,,,,,,0,0,0,
武汉同享软件有限公司,,"['软件开发', '信息技术']",CAD软件、设计工具、软件开发、信息技术服务,,,,,,,,0,0,0,
武汉知音号科技有限公司,,"['互联网', '文化旅游']",文旅互联网平台、软件开发、数字内容服务、信息技术咨询,,,,,,,,0,0,0,
武汉华工智云科技有限公司,,"['软件开发', '云计算']",云计算平台、软件开发、信息技术服务、数据治理,,,,,,,,0,0,0,
